-----------------------Date: 2021/05/01 01:30:09-----------------------
[epoch:   1/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.883915, unknown loss: 0.142916, tar: 0.049096 
[epoch:   2/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.737115, unknown loss: 0.126445, tar: 0.040809 
[epoch:   3/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.680149, unknown loss: 0.118986, tar: 0.037253 
[epoch:   4/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.668195, unknown loss: 0.117764, tar: 0.036661 
[epoch:   5/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.677503, unknown loss: 0.116848, tar: 0.038115 
[epoch:   6/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.679609, unknown loss: 0.118666, tar: 0.037830 
[epoch:   7/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.718993, unknown loss: 0.122685, tar: 0.040508 
[epoch:   8/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.658642, unknown loss: 0.114869, tar: 0.036306 
[epoch:   9/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.649995, unknown loss: 0.114099, tar: 0.035971 
[epoch:  10/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.638051, unknown loss: 0.111038, tar: 0.035560 
[epoch:  11/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.646068, unknown loss: 0.113384, tar: 0.035834 
[epoch:  12/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.639175, unknown loss: 0.113307, tar: 0.035021 
[epoch:  13/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.644957, unknown loss: 0.112690, tar: 0.035920 
[epoch:  14/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.638123, unknown loss: 0.112537, tar: 0.035180 
[epoch:  15/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.635050, unknown loss: 0.112640, tar: 0.034879 
[epoch:  16/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.631969, unknown loss: 0.111628, tar: 0.034791 
[epoch:  17/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.627262, unknown loss: 0.110692, tar: 0.034638 
[epoch:  18/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.656711, unknown loss: 0.113932, tar: 0.037064 
[epoch:  19/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.628914, unknown loss: 0.110731, tar: 0.034815 
[epoch:  20/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.625663, unknown loss: 0.111051, tar: 0.034341 
[epoch:  21/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.626992, unknown loss: 0.111227, tar: 0.034453 
[epoch:  22/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.620003, unknown loss: 0.109736, tar: 0.034137 
[epoch:  23/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.619863, unknown loss: 0.109417, tar: 0.034281 
[epoch:  24/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.622470, unknown loss: 0.110728, tar: 0.034165 
[epoch:  25/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.640180, unknown loss: 0.111244, tar: 0.035832 
[epoch:  26/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.640959, unknown loss: 0.112538, tar: 0.035350 
[epoch:  27/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.620815, unknown loss: 0.109762, tar: 0.034253 
[epoch:  28/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.621230, unknown loss: 0.110246, tar: 0.034115 
[epoch:  29/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.628688, unknown loss: 0.110921, tar: 0.034652 
[epoch:  30/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.627053, unknown loss: 0.111122, tar: 0.034471 
[epoch:  31/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.611500, unknown loss: 0.107386, tar: 0.033955 
[epoch:  32/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.611100, unknown loss: 0.107331, tar: 0.033982 
[epoch:  33/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.618233, unknown loss: 0.110812, tar: 0.033633 
[epoch:  34/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.607977, unknown loss: 0.106756, tar: 0.033940 
[epoch:  35/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.616352, unknown loss: 0.109280, tar: 0.033919 
[epoch:  36/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.614786, unknown loss: 0.109072, tar: 0.033806 
[epoch:  37/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.611344, unknown loss: 0.107704, tar: 0.033924 
[epoch:  38/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.658728, unknown loss: 0.113611, tar: 0.037369 
[epoch:  39/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.642130, unknown loss: 0.113735, tar: 0.035133 
[epoch:  40/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.620113, unknown loss: 0.109877, tar: 0.034073 
[epoch:  41/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.620715, unknown loss: 0.110539, tar: 0.033967 
[epoch:  42/1000, ite: 365, mixed ratio: 0.000000] train loss: 0.607910, unknown loss: 0.106986, tar: 0.033720 
